Color, 56, 206, 246, Center, 1148.756958, 604.493103, Size, 39.365734, 1096.166016, Angle, 178.211578
Color, 56, 206, 246, Center, 1146.398804, 418.006134, Size, 45.356068, 1109.098755, Angle, 179.007156
Color, 222, 27, 134, Center, 510.130310, 721.275940, Size, 1166.863159, 1705.066162, Angle, 193.324646
Color, 222, 27, 134, Center, 506.745117, 696.998840, Size, 1144.044312, 1864.954468, Angle, 188.729523
Color, 222, 27, 134, Center, 565.975830, 942.150085, Size, 1260.026733, 1905.904297, Angle, 176.762909
Color, 222, 27, 134, Center, 517.377686, 766.471497, Size, 1217.089111, 1770.642700, Angle, 185.186401
Color, 222, 27, 134, Center, 511.890320, 622.926147, Size, 1114.420776, 1792.543213, Angle, 190.100143
Color, 222, 27, 134, Center, 505.371826, 713.718689, Size, 1137.274536, 1702.064941, Angle, 197.707596
Color, 116, 50, 186, Center, 162.252441, 20.078930, Size, 40.912102, 787.516113, Angle, 88.280113
Color, 116, 50, 186, Center, 206.494019, 18.951849, Size, 38.675468, 714.399414, Angle, 88.037056
Color, 116, 50, 186, Center, 255.510727, 20.581223, Size, 36.844807, 715.715271, Angle, 87.622818
Color, 116, 50, 186, Center, 122.910133, 20.827547, Size, 40.435177, 899.623108, Angle, 88.505836
Color, 116, 50, 186, Center, 50.335743, 25.056074, Size, 40.604179, 1053.700195, Angle, 87.980728
Color, 116, 50, 186, Center, 148.530045, 16.222851, Size, 32.630455, 956.966675, Angle, 89.191193
Color, 124, 96, 222, Center, 981.482483, 1050.744507, Size, 297.439270, 1169.005249, Angle, 87.540588
Color, 124, 96, 222, Center, 909.528320, 1041.988525, Size, 299.391907, 1302.655762, Angle, 90.746117
Color, 124, 96, 222, Center, -165.709473, 908.875793, Size, 421.043762, 3640.165283, Angle, 95.356956
Color, 124, 96, 222, Center, 998.584351, 1058.773193, Size, 246.010651, 1444.311157, Angle, 89.483231
Color, 124, 96, 222, Center, 977.283447, 1051.981201, Size, 293.760956, 1206.707275, Angle, 88.637413
Color, 124, 96, 222, Center, 998.720825, 1053.439575, Size, 266.134583, 1326.736206, Angle, 88.552963
Color, 48, 46, 198, Center, 1007.257080, 867.275269, Size, 66.933273, 542.167786, Angle, 89.673470
Color, 48, 46, 198, Center, 993.465820, 871.484802, Size, 65.588318, 540.775635, Angle, 89.204231
Color, 48, 46, 198, Center, 934.511047, 868.002380, Size, 66.162064, 637.709167, Angle, 90.065529
Color, 48, 46, 198, Center, 931.757202, 883.049316, Size, 37.258904, 593.759949, Angle, 89.109100
Color, 48, 46, 198, Center, 977.769348, 878.025940, Size, 52.487831, 548.558350, Angle, 89.242439
Color, 48, 46, 198, Center, 988.084656, 876.887756, Size, 51.594673, 606.646057, Angle, 88.526909
Color, 128, 25, 208, Center, 691.272156, 926.995972, Size, 115.443573, 294.844177, Angle, 243.990097
Color, 128, 25, 208, Center, 706.990417, 931.687439, Size, 99.737961, 287.209686, Angle, 242.037018
Color, 128, 25, 208, Center, 726.550781, 959.999084, Size, 171.331940, 327.362610, Angle, 63.695408
Color, 128, 25, 208, Center, 692.177795, 943.430847, Size, 112.943413, 347.098358, Angle, 245.291855
Color, 128, 25, 208, Center, 701.394409, 929.703796, Size, 92.730537, 295.421112, Angle, 244.263550
Color, 128, 25, 208, Center, 707.516052, 931.750793, Size, 107.786369, 299.355042, Angle, 245.858841
Color, 191, 186, 15, Center, 973.521667, 794.074585, Size, 114.172058, 383.551697, Angle, 94.452438
Color, 191, 186, 15, Center, 987.282715, 801.441345, Size, 103.745903, 364.474762, Angle, 92.982170
